product_name,product_description,category
"Samsung Galaxy S23 128GB Preto","Smartphone premium com camera tripla, 8GB RAM, tela 120Hz.","eletronicos"
"Notebook Dell Inspiron 15 i7 16GB","Notebook 15.6 pol Full HD, SSD 512GB, Windows 11.","eletronicos"
"Fone de Ouvido Sony WH-1000XM5","Headphone com cancelamento de ruido, bluetooth, bateria 30h.","eletronicos"
"Smart TV LG 55 4K UHD","TV 55 pol 4K, HDR, webOS, suporte a streaming.","eletronicos"
"Camera GoPro HERO12 Black","Camera de acao 5.3K, estabilizacao, a prova d'agua.","eletronicos"
"Camiseta Polo Algodao Branca M","Camiseta polo 100% algodao, gola reforcada, corte regular.","vestuario"
"Calca Jeans Slim Azul 42","Jeans slim com elastano, lavagem media, cintura media.","vestuario"
"Tenis Nike Air Max 270 Preto 42","Tenis esportivo com amortecimento Air, cabedal respiravel.","vestuario"
"Jaqueta Corta-Vento Impermeavel G","Jaqueta leve impermeavel, capuz ajustavel, bolsos laterais.","vestuario"
"Vestido Midi Floral Feminino P","Vestido midi em viscose, estampa floral, alcas finas.","vestuario"
"Panela de Pressao 6L","Panela de pressao 6 litros, valvula de seguranca, cabo resistente.","utensilios"
"Jogo de Facas 7 Pecas Inox","Conjunto com 7 pecas, laminas de aco inox, suporte.","utensilios"
"Liquidificador 1200W Copo Vidro","Liquidificador 1200W, copo de vidro 2L, 12 velocidades.","utensilios"
"Frigideira Antiaderente 26cm","Frigideira 26cm com revestimento antiaderente, base reforcada.","utensilios"
"Cafeteira de Capsulas Compacta","Cafeteira de capsulas, 19 bar, aquecimento rapido, design compacto.","utensilios"
